Gas,M,sigma,eK
Ar,39.948,3.432,122.4
CH4,16.040,3.780,154
CO,28.010,3.590,110
CO2,44.010,3.996,190
COS,60.076,4.130,336
H2O,18.015,2.725,358
N2,28.013,3.667,99.8
N2O,44.012,3.879,220
NO,30.006,3.470,119
O2,31.999,3.433,113
SO2,64.065,4.026,363
